LogID,Time,Latitude,Longitude,Altitude,PM2.5
0,n/a,n/a,n/a,n/a,7.0
1,2022-08-21T13:56:38.000Z,52.410025,13.029638333,54.6,7.0
2,2022-08-21T13:56:43.000Z,52.410025,13.029638333,54.6,4.666666666666667
3,2022-08-21T13:56:43.000Z,52.410025,13.029638333,54.6,2.916666666666667
4,2022-08-21T13:56:53.000Z,52.410023333,13.029638333,53.4,1.9833333333333336
5,2022-08-21T13:56:58.000Z,52.410023333,13.029638333,53.3,1.4972222222222225
6,2022-08-21T13:56:58.000Z,52.410023333,13.029638333,53.3,1.2138888888888888
7,2022-08-21T13:57:08.000Z,52.410023333,13.029638333,53.3,1.026736111111111
8,2022-08-21T13:57:13.000Z,52.410023333,13.029638333,53.3,0.8918595679012346
9,2022-08-21T13:57:13.000Z,52.410023333,13.029638333,53.3,0.7891859567901235
10,2022-08-21T13:57:23.000Z,52.410031667,13.02963,53.2,0.7081078142536475
11,2022-08-21T13:57:28.000Z,52.41003,13.02966,53.3,0.6423423178544706
12,2022-08-21T13:57:28.000Z,52.41003,13.02966,53.3,0.5878724859888055
13,2022-08-21T13:57:38.000Z,52.41003,13.02967,51.1,0.6134194632849147
14,2022-08-21T13:57:43.000Z,52.410041667,13.029676667,49.6,0.5742279642189944
15,2022-08-21T13:57:43.000Z,52.410041667,13.029676667,49.6,0.5358892477636872
16,2022-08-21T13:57:53.000Z,52.410165,13.029736667,44.8,0.5021111322213934
17,2022-08-21T13:57:58.000Z,52.410183333,13.029751667,41.0,0.472339507345633
18,2022-08-21T13:57:58.000Z,52.410183333,13.029751667,41.0,0.4459126056497702
19,2022-08-21T13:58:08.000Z,52.410218333,13.029748333,39.4,0.4222956302824885
20,2022-08-21T13:58:13.000Z,52.410253333,13.029753333,40.6,0.4010616966801185
21,2022-08-21T13:58:13.000Z,52.410253333,13.029753333,40.6,0.3818664407581872
22,2022-08-21T13:58:24.000Z,52.410391667,13.029581667,35.1,0.3644289756851386
23,2022-08-21T13:58:28.000Z,52.410405,13.029483333,33.9,0.3485178739868808
24,2022-08-21T13:58:28.000Z,52.410405,13.029483333,33.9,0.3339407149594752
25,2022-08-21T13:58:39.000Z,52.410471667,13.029256667,34.7,0.32053618134459516
26,2022-08-21T13:58:43.000Z,52.410473333,13.029175,32.7,0.3081680067164665
27,2022-08-21T13:58:43.000Z,52.410473333,13.029175,32.7,0.2967202859541595
28,2022-08-21T13:58:54.000Z,52.410508333,13.02895,38.6,0.2860938029639365
29,2022-08-21T13:58:58.000Z,52.410503333,13.028861667,39.2,0.27620312676546455
30,2022-08-21T13:58:58.000Z,52.410503333,13.028861667,39.2,0.26697429441178916
31,2022-08-21T13:59:09.000Z,52.410513333,13.028681667,40.3,0.22709294670036842
32,2022-08-21T13:59:13.000Z,52.41052,13.028596667,41.2,0.21900281656667783
33,2022-08-21T13:59:13.000Z,52.41052,13.028596667,41.2,0.2123236122519611
34,2022-08-21T13:59:24.000Z,52.410531667,13.028421667,35.7,0.2060663889214846
35,2022-08-21T13:59:28.000Z,52.410535,13.028313333,38.5,0.20016851080337456
36,2022-08-21T13:59:28.000Z,52.410535,13.028313333,38.5,0.19459914894063174
37,2022-08-21T13:59:39.000Z,52.410478333,13.02811,30.6,0.18933155655106926
38,2022-08-21T13:59:44.000Z,52.410465,13.027935,34.3,0.18434183478336075
39,2022-08-21T13:59:44.000Z,52.410465,13.027935,34.3,0.17960854586958402
40,2022-08-21T13:59:54.000Z,52.410496667,13.02772,38.9,0.17511240355779473
41,2022-08-21T13:59:59.000Z,52.410496667,13.027685,35.2,0.1708360096085189
42,2022-08-21T13:59:59.000Z,52.410496667,13.027685,35.2,0.16676362813043066
43,2022-08-21T14:00:09.000Z,52.410478333,13.027425,35.6,0.14015371882114616
44,2022-08-21T14:00:14.000Z,52.410468333,13.02732,34.8,0.1364478604182477
45,2022-08-21T14:00:14.000Z,52.410468333,13.02732,34.8,0.13340104044387494
46,2022-08-21T14:00:24.000Z,52.41047,13.027071667,36.9,0.13049789447752927
47,2022-08-21T14:00:29.000Z,52.41046,13.026978333,35.7,0.12771870613494854
48,2022-08-21T14:00:29.000Z,52.41046,13.026978333,35.7,0.12505548379867243
49,2022-08-21T14:00:39.000Z,52.410451667,13.026813333,36.7,0.16250110967597345
50,2022-08-21T14:00:44.000Z,52.410453333,13.026713333,39.4,0.17965688450345046
51,2022-08-21T14:00:44.000Z,52.410453333,13.026713333,39.4,0.17653186316352787
52,2022-08-21T14:00:54.000Z,52.410436667,13.026471667,38.5,0.17314211062572693
53,2022-08-21T14:00:59.000Z,52.410436667,13.02636,38.2,0.18839152056714312
54,2022-08-21T14:00:59.000Z,52.410436667,13.02636,38.2,0.20342530037394804
55,2022-08-21T14:01:09.000Z,52.410421667,13.026148333,40.7,0.18220402322096335
56,2022-08-21T14:01:14.000Z,52.410401667,13.026058333,41.1,0.19617901795124498
57,2022-08-21T14:01:18.000Z,52.410396667,13.02603,42.0,0.19303756927502147
58,2022-08-21T14:01:24.000Z,52.410396667,13.026028333,41.5,0.18971250117415292
59,2022-08-21T14:01:29.000Z,52.4104,13.026008333,41.7,0.1531618750195692
60,2022-08-21T14:01:33.000Z,52.410356667,13.025998333,41.3,0.15005183401671424
61,2022-08-21T14:01:39.000Z,52.410296667,13.026091667,41.3,0.14758148119381798
62,2022-08-21T14:01:44.000Z,52.41026,13.026181667,39.8,0.14519970605069552
63,2022-08-21T14:01:44.000Z,52.41026,13.026181667,39.8,0.1428937454070421
64,2022-08-21T14:01:54.000Z,52.410178333,13.02629,40.4,0.14065990377549295
65,2022-08-21T14:01:59.000Z,52.410173333,13.026298333,40.1,0.1384948470269014
66,2022-08-21T14:01:59.000Z,52.410173333,13.026298333,40.1,0.13639544547801347
67,2022-08-21T14:02:09.000Z,52.410078333,13.026503333,40.0,0.11965287419820608
68,2022-08-21T14:02:14.000Z,52.41003,13.026598333,40.6,0.1176761286115682
69,2022-08-21T14:02:18.000Z,52.410008333,13.026668333,40.0,0.11596680183730812
70,2022-08-21T14:02:24.000Z,52.409963333,13.026783333,37.1,0.10022488453291983
71,2022-08-21T14:02:29.000Z,52.409913333,13.026865,39.3,0.09861423450740166
72,2022-08-21T14:02:33.000Z,52.40988,13.026933333,40.1,0.09724129088366304
73,2022-08-21T14:02:39.000Z,52.409835,13.027041667,39.6,0.10942217960653598
74,2022-08-21T14:02:44.000Z,52.409801667,13.027136667,39.8,0.10812562906142048
75,2022-08-21T14:02:49.000Z,52.40976,13.027213333,40.0,0.10668586354028185
76,2022-08-21T14:02:54.000Z,52.409715,13.027288333,40.7,0.09229462160441924
77,2022-08-21T14:02:59.000Z,52.409663333,13.027366667,41.5,0.09092685412313359
78,2022-08-21T14:03:04.000Z,52.409616667,13.027453333,42.9,0.08975856777371055
79,2022-08-21T14:03:09.000Z,52.40958,13.027553333,41.9,0.08862198209717138
80,2022-08-21T14:03:14.000Z,52.409538333,13.027638333,42.7,0.08751385163082928
81,2022-08-21T14:03:19.000Z,52.409506667,13.02773,42.5,0.08643309575159548
82,2022-08-21T14:03:24.000Z,52.409461667,13.027816667,44.1,0.08537871199700718
83,2022-08-21T14:03:29.000Z,52.409411667,13.02792,43.3,0.08434974657139295
84,2022-08-21T14:03:34.000Z,52.409403333,13.028055,45.5,0.08334529113613404
85,2022-08-21T14:03:39.000Z,52.409415,13.028158333,47.7,0.07073657315274574
86,2022-08-21T14:03:44.000Z,52.409428333,13.02828,46.9,0.06977858130060627
87,2022-08-21T14:03:49.000Z,52.409441667,13.028363333,47.1,0.0689747566056887
88,2022-08-21T14:03:54.000Z,52.40946,13.028485,45.6,0.06819072760231111
89,2022-08-21T14:03:59.000Z,52.40948,13.028585,44.7,0.06742434141780346
90,2022-08-21T14:04:04.000Z,52.40946,13.028706667,47.3,0.06667499276283301
91,2022-08-21T14:04:09.000Z,52.409468333,13.028825,46.7,0.06594211948655253
92,2022-08-21T14:04:14.000Z,52.409485,13.028938333,47.3,0.06522518408050057
93,2022-08-21T14:04:19.000Z,52.409498333,13.029035,47.4,0.06452367217106916
94,2022-08-21T14:04:24.000Z,52.409513333,13.02913,47.6,0.06383709128601125
95,2022-08-21T14:04:29.000Z,52.409515,13.029263333,47.4,0.06316496970089595
96,2022-08-21T14:04:34.000Z,52.409506667,13.029375,48.8,0.0625068553577412
97,2022-08-21T14:04:39.000Z,52.409521667,13.029483333,51.8,0.06186231485058919
98,2022-08-21T14:04:44.000Z,52.409528333,13.029616667,50.4,0.06123093247323827
99,2022-08-21T14:04:49.000Z,52.409663333,13.029636667,43.8,0.06061230932473238
100,2022-08-21T14:04:54.000Z,52.409731667,13.029638333,41.8,0.0600060624685617
101,2022-08-21T14:04:59.000Z,52.409796667,13.02963,40.0,0.05941182414184864
102,2022-08-21T14:05:04.000Z,52.409858333,13.029638333,39.6,0.058829241011085914
103,2022-08-21T14:05:09.000Z,52.409905,13.02963,36.5,0.04864258885587583
104,2022-08-21T14:05:14.000Z,52.40998,13.029658333,35.6,0.04808231037005596
105,2022-08-21T14:05:19.000Z,52.410033333,13.029663333,36.4,0.04762341802235902
106,2022-08-21T14:05:24.000Z,52.410028333,13.029658333,37.3,0.05651984502824634
107,2022-08-21T14:05:29.000Z,52.41003,13.029658333,37.3,0.05607888745396524
108,2022-08-21T14:05:34.000Z,52.410053333,13.029588333,38.7,0.05556035676563271
109,2022-08-21T14:05:39.000Z,52.410058333,13.029546667,37.4,0.05505054869786939
110,2022-08-21T14:05:44.000Z,52.409996667,13.029541667,38.1,0.05455000494322405
111,2022-08-21T14:05:49.000Z,52.409971667,13.029525,39.0,0.05405848218699307
112,2022-08-21T14:05:49.000Z,52.409971667,13.029525,39.0,0.05357573878041587
113,2022-08-21T14:05:59.000Z,52.409948333,13.029498333,38.9,0.05310154156824926
114,2022-08-21T14:06:04.000Z,52.409938333,13.029495,39.5,0.052635665578854345
115,2022-08-21T14:06:04.000Z,52.409938333,13.029495,39.5,0.05217789366878323
116,2022-08-21T14:06:14.000Z,52.40994,13.029501667,39.2,0.05172801618520327
117,2022-08-21T14:06:19.000Z,52.40994,13.029501667,39.2,0.05128583064563731
118,2022-08-21T14:06:19.000Z,52.40994,13.029501667,39.2,0.05085114143399695
119,2022-08-21T14:06:29.000Z,52.40994,13.029501667,39.2,0.050423759511949974
